2026-04-05 12:01:06,251 | INFO | ===== MAIN START =====
2026-04-05 12:01:06,251 | INFO | System initialized
2026-04-05 12:01:06,252 | INFO | ===== MAIN END =====
2026-04-05 12:01:44,970 | INFO | ===== MAIN START =====
2026-04-05 12:01:44,971 | INFO | System initialized
2026-04-05 12:01:44,971 | INFO | ===== MAIN END =====
2026-04-08 16:10:09,539 | INFO | Starting target definition pipeline...
2026-04-08 16:10:09,539 | INFO | Creating demand_score...
2026-04-08 16:10:34,499 | INFO | Starting target definition pipeline...
2026-04-08 16:10:34,500 | INFO | Creating demand_score...
2026-04-08 16:12:08,665 | INFO | Starting target definition pipeline...
2026-04-08 16:12:08,665 | INFO | Creating demand_score...
2026-04-08 16:12:08,694 | INFO | Dataset shape: (98970, 29)
2026-04-08 16:12:08,695 | INFO | Target mean: 0.1407
2026-04-08 16:12:08,767 | INFO | Saved target arrays successfully
2026-04-08 16:12:31,432 | INFO | Starting target definition pipeline...
2026-04-08 16:12:31,433 | INFO | Creating demand_score...
2026-04-08 16:12:31,439 | INFO | Dataset shape: (98970, 29)
2026-04-08 16:12:31,439 | INFO | Target mean: 0.1407
2026-04-08 16:12:31,475 | INFO | Saved target arrays successfully
2026-04-08 16:12:43,319 | INFO | Starting target definition pipeline...
2026-04-08 16:12:43,319 | INFO | Creating demand_score...
2026-04-08 16:12:43,326 | INFO | Dataset shape: (98970, 29)
2026-04-08 16:12:43,327 | INFO | Target mean: 0.1407
2026-04-08 16:12:43,405 | INFO | Saved target arrays successfully
2026-04-08 16:12:55,776 | INFO | Starting target definition pipeline...
2026-04-08 16:12:55,776 | INFO | Creating demand_score...
2026-04-08 16:12:55,782 | INFO | Dataset shape: (98970, 29)
2026-04-08 16:12:55,783 | INFO | Target mean: 0.1407
2026-04-08 16:12:55,826 | INFO | Saved target arrays successfully
2026-04-08 16:13:10,823 | INFO | Starting target definition pipeline...
2026-04-08 16:13:10,824 | INFO | Creating demand_score...
2026-04-08 16:13:10,829 | INFO | Dataset shape: (98970, 29)
2026-04-08 16:13:10,830 | INFO | Target mean: 0.1407
2026-04-08 16:13:10,880 | INFO | Saved target arrays successfully
2026-04-08 16:20:36,164 | INFO | Starting target definition pipeline...
2026-04-08 16:20:36,165 | INFO | Creating demand_score...
2026-04-08 16:20:36,170 | INFO | Dataset shape: (98970, 29)
2026-04-08 16:20:36,171 | INFO | Target mean: 0.1407
2026-04-08 16:20:36,208 | INFO | Saved target arrays successfully
